group,eid,index,used.in.pca
0,999,165179,1
1,999,376296,1
0,999,486315,1
1,999,303371,0
1,999,274183,0
0,999,19001,1
0,999,469071,1
0,999,307533,1
0,999,124744,1
1,999,427809,1
1,999,360450,1
1,999,460663,1
0,999,51977,1
0,999,263466,1
1,999,5438,1
0,999,451245,1
0,999,132174,0
0,999,11926,1
0,999,224637,1
0,999,382501,1
0,999,96243,1
0,999,10115,1
0,999,184437,1
0,999,314064,1
0,999,190729,1
1,999,253454,1
0,999,9470,1
0,999,468882,0
1,999,481223,1
1,999,302027,1
0,999,183953,1
1,999,138062,1
0,999,451339,1
1,999,358882,1
1,999,172320,1
0,999,258101,1
0,999,412404,0
0,999,11281,0
1,999,205961,0
1,999,68393,1
1,999,431643,0
0,999,463733,1
1,999,46105,1
1,999,343852,1
1,999,344668,0
0,999,466752,0
0,999,465324,1
0,999,241619,1
0,999,148163,1
1,999,31849,1
0,999,163519,1
1,999,394573,1
0,999,113169,1
1,999,323323,0
1,999,287268,0
1,999,424433,1
1,999,392602,0
1,999,385356,1
0,999,399095,1
0,999,467876,1
1,999,104406,0
1,999,328574,1
1,999,342705,1
0,999,217981,1
1,999,383186,1
0,999,111103,1
1,999,376863,1
0,999,430354,1
0,999,89679,1
0,999,69662,1
0,999,404908,0
1,999,355565,1
1,999,353126,0
1,999,207137,1
1,999,321376,0
0,999,86515,1
1,999,365879,1
0,999,81258,1
0,999,420085,1
1,999,460049,0
0,999,368797,1
0,999,442950,1
1,999,409064,1
0,999,217639,0
1,999,42301,0
0,999,52648,1
0,999,394655,1
0,999,202950,1
1,999,298908,1
1,999,54299,1
0,999,411357,1
0,999,80851,1
1,999,30025,1
1,999,50196,1
1,999,161946,1
1,999,153096,1
0,999,485877,1
1,999,458822,1
1,999,416960,0
1,999,91098,1
0,999,283491,1
1,999,199519,1
1,999,289558,0
0,999,402927,1
1,999,169679,0
1,999,27896,1
0,999,461646,1
0,999,189769,1
0,999,173322,0
0,999,297012,0
1,999,2629,1
1,999,331109,1
1,999,157971,1
1,999,218499,1
1,999,54191,1
1,999,210233,1
0,999,426229,1
0,999,266514,1
0,999,240684,1
1,999,77539,0
1,999,317399,1
1,999,73184,1
1,999,255359,0
1,999,119730,1
1,999,79363,1
1,999,418189,0
1,999,339965,1
1,999,329146,1
1,999,479897,1
0,999,14386,1
0,999,390209,1
0,999,460777,0
1,999,165321,1
1,999,105475,0
0,999,63077,1
1,999,31682,1
1,999,408327,0
1,999,197394,1
0,999,78596,1
0,999,356513,1
1,999,385491,1
0,999,36536,1
0,999,135996,1
1,999,176571,1
1,999,207511,1
1,999,405714,1
0,999,239783,1
1,999,343308,0
0,999,350874,0
1,999,211301,1
1,999,25729,1
0,999,473743,1
1,999,253720,1
1,999,479155,0
1,999,234452,1
0,999,444683,0
1,999,104601,1
1,999,281139,1
1,999,386223,1
0,999,397378,1
1,999,245978,0
0,999,55874,1
0,999,389462,1
0,999,406551,1
0,999,477964,1
0,999,246952,0
0,999,86443,1
0,999,421455,1
0,999,107642,1
0,999,23309,1
1,999,419693,0
0,999,16466,1
1,999,334929,1
0,999,286347,1
0,999,43134,1
1,999,275208,1
1,999,431998,0
0,999,302514,1
0,999,240854,1
0,999,367176,1
1,999,471848,0
0,999,132110,1
1,999,198526,0
0,999,344049,0
1,999,417132,0
1,999,345417,1
1,999,16021,1
0,999,376214,1
1,999,9679,1
0,999,41244,1
1,999,288158,1
0,999,455356,1
1,999,223787,0
0,999,446723,1
0,999,47546,0
1,999,298373,1
1,999,236007,0
0,999,205986,1
0,999,193178,1
0,999,241412,1
0,999,195029,1
1,999,173970,1
1,999,177689,1
1,999,251232,1
1,999,400309,1
1,999,349102,1
0,999,281340,0
0,999,1952,1
0,999,60609,1
0,999,292427,1
0,999,343381,1
0,999,19908,1
1,999,457700,1
0,999,129744,1
1,999,458438,1
1,999,401691,1
1,999,390985,1
0,999,309817,1
1,999,63631,1
0,999,66113,1
0,999,129456,1
1,999,234694,1
0,999,49994,1
1,999,210373,1
1,999,439422,1
0,999,132021,1
1,999,387745,1
0,999,118914,1
0,999,218548,1
0,999,224045,1
0,999,245181,1
0,999,132781,1
0,999,56433,1
1,999,166519,0
0,999,415119,1
1,999,376355,1
1,999,122776,1
1,999,361461,1
0,999,210587,1
0,999,3595,1
0,999,333757,0
1,999,415235,1
1,999,438339,1
0,999,407714,1
1,999,377645,1
0,999,457271,1
1,999,402792,1
0,999,186767,1
0,999,201734,1
1,999,257234,0
0,999,181729,0
1,999,76625,1
0,999,434052,1
0,999,339583,1
1,999,410570,0
1,999,411639,1
0,999,48290,1
1,999,12906,1
0,999,103154,1
0,999,343996,1
1,999,171337,0
1,999,66655,1
0,999,94880,1
1,999,157018,1
0,999,107484,1
0,999,83364,0
0,999,478802,0
0,999,187408,1
1,999,385428,1
1,999,358392,1
1,999,274606,1
1,999,216331,1
1,999,408630,1
1,999,270484,1
1,999,440116,1
0,999,175509,1
1,999,269012,1
0,999,409986,0
0,999,438023,1
1,999,179132,1
1,999,291140,1
0,999,200597,0
0,999,107039,1
0,999,434613,1
0,999,13486,1
1,999,210756,1
1,999,59949,0
0,999,247190,1
1,999,221146,1
1,999,35708,1
1,999,241786,1
1,999,378541,1
1,999,399685,1
1,999,155492,1
1,999,294424,1
1,999,228515,1
0,999,350270,0
0,999,484316,1
0,999,379133,1
0,999,1260,1
0,999,54378,1
0,999,342000,1
0,999,12876,0
0,999,425064,0
1,999,392031,0
0,999,371289,1
0,999,285919,1
0,999,419542,1
1,999,153193,1
0,999,187928,0
1,999,414767,1
0,999,350324,1
0,999,213580,1
0,999,423360,1
1,999,51531,1
1,999,250326,1
1,999,228879,1
1,999,218817,1
0,999,179249,0
0,999,90546,1
1,999,32383,1
1,999,470337,0
0,999,451911,1
1,999,475124,1
1,999,81109,1
1,999,105074,1
1,999,140618,1
1,999,82949,1
1,999,339828,1
1,999,232803,1
0,999,829,1
1,999,79731,1
0,999,277020,1
0,999,132029,1
0,999,460758,1
0,999,335156,1
0,999,39382,1
1,999,163814,1
0,999,433134,1
1,999,180847,1
0,999,248154,0
0,999,317027,0
1,999,415014,1
0,999,22851,0
0,999,344674,1
0,999,260738,1
1,999,277948,1
1,999,345528,1
0,999,108058,1
1,999,46445,1
1,999,64658,1
1,999,259769,1
1,999,461561,1
1,999,123180,1
1,999,110592,1
1,999,189416,1
0,999,360438,1
0,999,387707,1
1,999,83975,0
0,999,214786,1
1,999,15189,1
0,999,152641,1
0,999,115425,1
1,999,446829,1
0,999,95843,1
0,999,243347,0
1,999,364993,1
1,999,360136,1
0,999,417297,1
0,999,32848,1
1,999,14665,1
1,999,355015,1
1,999,9384,1
1,999,230791,1
1,999,368214,1
0,999,134326,1
0,999,248516,1
1,999,234025,1
1,999,139058,0
0,999,174437,1
0,999,165979,1
0,999,387980,1
0,999,481987,1
0,999,104679,1
0,999,35181,1
0,999,281746,1
1,999,214122,1
0,999,30279,1
0,999,226505,1
1,999,178549,1
0,999,258237,1
0,999,167132,1
1,999,275975,1
1,999,114310,0
0,999,268644,1
1,999,20664,1
1,999,431948,1
0,999,79755,1
0,999,7658,1
1,999,287522,1
0,999,294556,1
0,999,330058,1
1,999,363826,1
1,999,158472,0
1,999,451473,1
0,999,369260,1
0,999,275118,1
1,999,473028,1
1,999,202608,1
1,999,349106,0
0,999,46448,1
1,999,151471,1
0,999,37677,1
1,999,187249,1
0,999,171791,1
