group,eid,index,used.in.pca
0,999,199820,1
0,999,330512,1
1,999,166703,1
1,999,136462,1
1,999,430466,1
1,999,68527,1
0,999,148120,1
1,999,434581,1
0,999,125391,1
0,999,388380,1
1,999,119570,1
1,999,370985,1
0,999,357617,1
1,999,434735,1
0,999,142670,1
0,999,261727,1
1,999,111053,1
0,999,416071,1
0,999,422516,1
0,999,251531,1
1,999,342776,1
0,999,299473,1
1,999,253680,1
0,999,255092,1
0,999,10480,1
1,999,87382,1
0,999,463421,1
0,999,470061,1
1,999,116812,1
1,999,75199,1
1,999,53559,1
1,999,263158,1
1,999,319169,1
1,999,398263,1
0,999,432111,1
1,999,94492,1
1,999,309790,1
1,999,392677,1
0,999,351345,1
0,999,412086,1
0,999,315484,1
0,999,28702,1
1,999,344686,1
0,999,380179,1
0,999,451036,1
1,999,107518,1
1,999,143285,1
0,999,395969,1
1,999,21010,1
0,999,184257,1
0,999,198518,1
1,999,328687,1
1,999,81968,1
1,999,186750,1
0,999,336398,1
1,999,235670,1
1,999,207262,1
1,999,108901,1
0,999,212036,1
0,999,51182,1
1,999,59405,1
1,999,426784,1
0,999,122131,1
0,999,159281,1
1,999,463801,1
1,999,187802,1
1,999,428697,1
0,999,229836,1
1,999,374803,1
1,999,286565,1
1,999,299655,1
1,999,409606,1
0,999,411677,1
1,999,250640,1
0,999,7089,1
1,999,351346,1
1,999,456347,1
0,999,207393,1
1,999,292785,1
0,999,390546,1
0,999,194900,1
1,999,229861,1
0,999,120364,1
1,999,130879,1
0,999,275764,1
0,999,142317,1
1,999,450515,1
0,999,58360,1
0,999,432196,1
0,999,477304,1
1,999,187942,1
1,999,348195,1
0,999,107166,1
0,999,52498,1
0,999,225063,1
1,999,192848,1
1,999,282620,1
1,999,421183,1
1,999,193071,1
1,999,320510,1
1,999,289041,1
1,999,165776,1
0,999,114182,1
0,999,427752,1
0,999,376035,1
0,999,210175,1
1,999,418918,1
1,999,334628,1
0,999,69865,1
0,999,418631,1
1,999,270239,1
0,999,125304,1
0,999,441840,1
0,999,287084,1
0,999,165300,1
1,999,190056,1
0,999,375003,1
0,999,97454,1
1,999,191844,1
0,999,398131,1
1,999,358138,1
1,999,296068,1
0,999,164790,1
0,999,241504,1
0,999,121460,1
1,999,328251,1
1,999,285921,1
1,999,16716,1
1,999,268508,1
0,999,109904,1
0,999,256802,1
0,999,431401,1
0,999,397091,1
1,999,325518,1
0,999,33693,1
0,999,287361,1
1,999,248381,1
1,999,89948,1
1,999,251449,1
1,999,368936,1
1,999,321858,1
1,999,228933,1
1,999,193804,1
1,999,15827,1
0,999,330397,1
0,999,215501,1
1,999,403891,1
1,999,39470,1
1,999,130423,1
0,999,115505,1
0,999,34062,1
1,999,192561,1
1,999,348558,1
